month,year,value,parameter,value_std
Jul,2016,198,RSS3_HIGH_PREV,2.4488793324
Aug,2016,188,RSS3_HIGH_PREV,2.3602078991
Sep,2016,189,RSS3_HIGH_PREV,2.3690750424
Oct,2016,203.2,RSS3_HIGH_PREV,2.4949884777
Nov,2016,174,RSS3_HIGH_PREV,2.2360678925
Dec,2016,161.5,RSS3_HIGH_PREV,2.1252286009
Jan,2017,169.4,RSS3_HIGH_PREV,2.1952790332
Feb,2017,175,RSS3_HIGH_PREV,2.2449350358
Mar,2017,190,RSS3_HIGH_PREV,2.3779421858
Apr,2017,177,RSS3_HIGH_PREV,2.2626693225
May,2017,175.9,RSS3_HIGH_PREV,2.2529154648
Jun,2017,174,RSS3_HIGH_PREV,2.2360678925
Jul,2017,164.9,RSS3_HIGH_PREV,2.1553768882
Aug,2017,148.4,RSS3_HIGH_PREV,2.0090690233
Sep,2017,150,RSS3_HIGH_PREV,2.0232564526
Oct,2017,146,RSS3_HIGH_PREV,1.9877878793
Nov,2017,144.5,RSS3_HIGH_PREV,1.9744871643
Dec,2017,140,RSS3_HIGH_PREV,1.9345850194
Jan,2018,149,RSS3_HIGH_PREV,2.0143893093
Feb,2018,166.5,RSS3_HIGH_PREV,2.1695643176
Mar,2018,173,RSS3_HIGH_PREV,2.2272007492
Apr,2018,176,RSS3_HIGH_PREV,2.2538021792
May,2018,175,RSS3_HIGH_PREV,2.2449350358
Jun,2018,191,RSS3_HIGH_PREV,2.3868093291
Jul,2018,210,RSS3_HIGH_PREV,2.5552850523
Aug,2018,196.6,RSS3_HIGH_PREV,2.4364653317
Sep,2018,158,RSS3_HIGH_PREV,2.0941935993
Oct,2018,156.5,RSS3_HIGH_PREV,2.0808928843
Nov,2018,151,RSS3_HIGH_PREV,2.032123596
Dec,2018,162.9,RSS3_HIGH_PREV,2.1376426016
Jan,2007,234,RSS3_LOW_PREV,3.0289204655
Feb,2007,257,RSS3_LOW_PREV,3.2591718636
Mar,2007,267.5,RSS3_LOW_PREV,3.3642866323
Apr,2007,267,RSS3_LOW_PREV,3.3592811671
May,2007,277.25,RSS3_LOW_PREV,3.4618932032
Jun,2007,290,RSS3_LOW_PREV,3.5895325652
Jul,2007,302.25,RSS3_LOW_PREV,3.712166462
Aug,2007,313,RSS3_LOW_PREV,3.8197839633
Sep,2007,278,RSS3_LOW_PREV,3.469401401
Oct,2007,248.5,RSS3_LOW_PREV,3.1740789556
Nov,2007,157,RSS3_LOW_PREV,2.2580788284
Dec,2007,132,RSS3_LOW_PREV,2.0078055696
Jan,2008,100,RSS3_LOW_PREV,1.6874557983
Feb,2008,142.6,RSS3_LOW_PREV,2.1139214313
Mar,2008,139,RSS3_LOW_PREV,2.077882082
Apr,2008,136.5,RSS3_LOW_PREV,2.0528547561
May,2008,150.5,RSS3_LOW_PREV,2.1930077811
Jun,2008,163,RSS3_LOW_PREV,2.3181444105
